RK,Name,AGE,EARNINGS,CUP,EVNTS,RNDS,CUTS,TOP10,WINS,SCORE,DDIS,DACC,GIR,PUTTS,SAND,BIRDS,Season
24,Shane Lowry,38,"$7,082,794",1607,20,70,16,4,0,70.1,298.1,63.0,67.1,1.769,56.7,3.586,2025
25,Nick Taylor,37,"$5,431,209",1564,24,82,18,3,1,69.9,295.2,66.6,68.9,1.778,56.6,3.768,2025
26,Harry Hall,28,"$4,309,601",1475,25,94,22,5,0,68.8,303.6,58.1,65.0,1.677,58.6,4.564,2025
26,Jacob Bridgeman,26,"$4,437,269",1475,30,94,18,5,0,69.9,302.2,60.6,65.2,1.747,60.3,4.0,2025
28,Sungjae Im,27,"$5,082,896",1422,28,97,20,3,0,70.3,296.9,68.0,62.6,1.729,59.5,3.938,2025
29,Chris Gotterup,26,"$4,844,784",1414,28,91,18,4,1,69.3,316.7,55.7,70.3,1.761,60.2,4.066,2025
30,Akshay Bhatia,23,"$4,882,187",1409,26,87,19,4,0,69.9,298.7,60.5,67.5,1.72,61.2,4.287,2025
31,Michael Kim,32,"$4,105,211",1400,27,96,21,4,0,70.2,299.7,58.9,65.0,1.769,71.5,3.531,2025
32,Rickie Fowler,37,"$3,441,954",1372,21,77,18,3,0,69.8,305.3,63.7,65.3,1.74,57.5,3.987,2025
33,Taylor Pendrith,34,"$3,978,452",1366,23,82,18,4,0,70.0,311.2,58.7,69.0,1.782,57.4,3.878,2025
34,Matt Fitzpatrick,31,"$3,831,413",1304,21,74,17,5,0,70.1,302.7,61.3,66.7,1.758,67.0,3.757,2025
35,Kurt Kitayama,33,"$3,476,376",1298,24,74,16,4,1,69.3,318.0,57.8,67.8,1.72,53.3,4.297,2025
36,Lucas Glover,46,"$4,397,743",1296,22,75,15,5,0,70.3,292.3,68.4,65.4,1.75,58.4,3.853,2025
37,Si Woo Kim,30,"$4,184,686",1278,30,99,21,3,0,69.7,297.4,66.8,66.7,1.734,63.3,4.101,2025
38,Sam Stevens,29,"$4,392,752",1263,31,108,24,4,0,70.1,305.5,59.7,66.2,1.778,59.2,3.63,2025
39,Ryan Gerard,26,"$3,872,916",1250,29,98,23,4,1,70.1,303.2,63.4,65.8,1.765,57.6,3.633,2025
40,Denny McCarthy,32,"$3,871,251",1242,23,88,21,2,0,70.1,295.3,60.8,66.4,1.752,58.1,3.682,2025
41,Jason Day,38,"$3,740,375",1241,17,62,14,4,0,70.0,300.3,61.1,66.0,1.73,55.7,3.887,2025
42,Xander Schauffele,32,"$4,839,866",1220,16,64,16,4,1,70.1,311.9,55.6,66.9,1.778,54.5,3.922,2025
43,Ryan Fox,38,"$3,981,947",1209,21,70,15,2,2,70.2,308.7,52.3,64.2,1.722,54.8,3.914,2025
44,Thomas Detry,33,"$3,651,876",1184,24,82,18,2,1,70.6,306.5,56.8,65.2,1.785,62.2,3.537,2025
45,Daniel Berger,32,"$4,115,448",1180,22,79,17,2,0,70.3,302.9,66.4,68.2,1.782,47.3,3.709,2025
46,Brian Campbell,32,"$3,370,767",1160,24,68,11,2,2,71.1,278.4,66.8,61.2,1.738,55.4,3.721,2025
47,Bud Cauley,35,"$3,321,090",1133,22,74,16,4,0,70.1,301.4,61.2,65.9,1.753,60.6,3.824,2025
48,Tom Hoge,36,"$4,201,600",1124,29,92,18,4,0,70.9,296.3,60.5,62.9,1.754,64.7,3.717,2025
49,J.T. Poston,32,"$3,233,502",1102,26,92,21,2,0,70.2,295.6,66.1,66.2,1.757,59.6,3.793,2025
50,Jhonattan Vegas,41,"$2,795,198",1047,21,71,15,2,0,70.8,309.0,54.2,66.8,1.787,51.2,3.718,2025
